"sample","Acanthuridae Acanthurus grammoptilus","Acanthuridae Acanthurus olivaceus","Apogonidae Ostorhinchus spp","Ariidae Netuma thalassina","Carangidae Carangoides fulvoguttatus","Carangidae Carangoides spp","Carangidae Decapterus muroadsi","Carangidae Decapterus spp","Carangidae Pseudocaranx spp","Carangidae Seriola dumerili","Carangidae Seriola hippos","Carangidae Unknown spp","Carcharhinidae Carcharhinus plumbeus","Carcharhinidae Carcharhinus spp","Carcharhinidae Galeocerdo cuvier","Chaetodontidae Chaetodon assarius","Chaetodontidae Chaetodon auriga","Chaetodontidae Chaetodon lunula","Cheilodactylidae Cheilodactylus gibbosus","Cirrhitidae Paracirrhites forsteri","Dasyatidae Taeniurops meyeni","Echeneidae Echeneis naucrates","Gerreidae Parequula spp","Glaucosomatidae Glaucosoma buergeri","Haemulidae Diagramma pictum labiosum","Labridae Anampses caeruleopunctatus","Labridae Anampses geographicus","Labridae Austrolabrus maculatus","Labridae Bodianus bilunulatus","Labridae Bodianus solatus","Labridae Bodianus spp","Labridae Bodianus vulpinus","Labridae Choerodon rubescens","Labridae Coris auricularis","Labridae Coris caudimacula","Labridae Labroides dimidiatus","Labridae Stethojulis spp","Labridae Suezichthys cyanolaemus","Labridae Thalassoma lutescens","Labridae Unknown spp","Lethrinidae Gymnocranius grandoculis","Lethrinidae Gymnocranius spp","Lethrinidae Lethrinus miniatus","Lethrinidae Lethrinus nebulosus","Lethrinidae Lethrinus punctulatus","Lethrinidae Lethrinus ravus","Lutjanidae Pristipomoides multidens","Lutjanidae Pristipomoides typus","Monacanthidae Aluterus scriptus","Monacanthidae Eubalichthys caeruleoguttatus","Monacanthidae Nelusetta ayraud","Mullidae Parupeneus chrysopleuron","Mullidae Parupeneus spilurus","Muraenidae Gymnothorax nudivomer","Muraenidae Gymnothorax thyrsoideus","Muraenidae Gymnothorax woodwardi","Nemipteridae Pentapodus nagasakiensis","Orectolobidae Orectolobus hutchinsi","Pempherididae Pempheris tominagai","Pinguipedidae Parapercis haackei","Pinguipedidae Parapercis nebulosa","Pinguipedidae Parapercis spp","Pomacanthidae Chaetodontoplus personifer","Pomacanthidae Pomacanthus semicirculatus","Pomacentridae Chromis spp","Pomacentridae Parma mccullochi","Rachycentridae Rachycentron canadum","Rhinidae Rhynchobatus australiae","Scaridae Scarus sp3","Scaridae Scarus spp","Scombridae Scomberomorus spp","Serranidae Epinephelus areolatus","Serranidae Epinephelus morrhua","Serranidae Epinephelus rivulatus","Siganidae Siganus argenteus","Siganidae Siganus punctatus","Sparidae Chrysophrys auratus","Sphyrnidae Sphyrna lewini","Tetraodontidae Lagocephalus sceleratus","Tetraodontidae Torquigener pallimaculatus","Tetraodontidae Unknown spp","Triakidae Hemitriakis falcata","Triakidae Mustelus ravidus","Trygonorrhinidae Aptychotrema vincentiana","Urolophidae Unknown spp","Zanclidae Zanclus cornutus"
"npz6.10",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0
"npz6.13",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0
"npz6.14",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,4,82,0,6,0,2,0,0,0,0,10,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,88,2,0,0,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
"npz6.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"npz6.17",0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,2,2,0,0,0,0,0,0,0,0,4,0,2,0,4,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"npz6.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"npz6.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,328,0,2,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"npz6.20",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,6,0,0,0,4,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"npz6.21",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,12,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,4,0,34,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"npz6.22",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,130,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"npz6.24",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,134,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"npz6.26",8,8,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,4,0,0,0,0,0,0,0,2,8,0,6,0,0,0,12,102,2,6,0,4,6,0,0,0,10,4,0,8,0,0,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,2,84,0,0,0,10,0,0,0,0,0,10,4,4,0,0,0,0,0,0,0,0,4
"npz6.27",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,68,0,2,0,2,0,0,0,0,12,10,0,0,0,0,0,0,0,0,2,0,0,2,0,0,14,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"npz6.28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
