"","sample","latitude","longitude","depth","location"
"1","npz6.10",-28.0798,113.3498,151,"NPZ6"
"3","npz6.13",-28.0537,113.4489,57,"NPZ6"
"5","npz6.14",-28.0912,113.4589,25.5,"NPZ6"
"7","npz6.15",-28.0712,113.3788,92,"NPZ6"
"9","npz6.17",-28.0587,113.3939,65.7,"NPZ6"
"11","npz6.18",-28.0837,113.5038,50,"NPZ6"
"13","npz6.2",-28.0862,113.3863,92,"NPZ6"
"15","npz6.20",-28.0462,113.4413,51,"NPZ6"
"17","npz6.21",-28.0737,113.4014,57.4,"NPZ6"
"19","npz6.22",-28.0687,113.4512,45,"NPZ6"
"20","npz6.24",-28.0836,113.5114,49.3,"NPZ6"
"22","npz6.26",-28.0487,113.4414,42,"NPZ6"
"24","npz6.27",-28.0688,113.2892,186,"NPZ6"
"26","npz6.28",-28.0937,113.429,47.3,"NPZ6"
"28","npz6.36",-28.0765,113.4739,52.9,"NPZ6"
"30","npz6.4",-28.0769,113.2764,189,"NPZ6"
"32","npz6.5",-28.0839,113.4763,53.2,"NPZ6"
"34","npz6.6",-28.0362,113.4213,66.6,"NPZ6"
"36","npz6.8",-28.0888,113.4012,73.6,"NPZ6"
"38","npz6.9",-28.0486,113.3687,101,"NPZ6"
"40","npz6.BOSS41",-28.1137,113.3939,104,"NPZ6"
"41","npz6.C01",-28.1078,113.3706,138,"NPZ6"
"42","npz6.C02",-28.118,113.385,125,"NPZ6"
"43","npz9.1",-27.0953,113.1022,102,"NPZ9"
"45","npz9.10",-27.1638,113.1565,93.6,"NPZ9"
"46","npz9.11",-27.1238,113.1889,85.8,"NPZ9"
"47","npz9.12",-27.1462,113.2039,92.2,"NPZ9"
"48","npz9.13",-27.1268,113.1497,88.7,"NPZ9"
"50","npz9.16",-27.134,113.1278,102,"NPZ9"
"52","npz9.17",-27.101,113.1122,95.4,"NPZ9"
"54","npz9.18",-27.1236,113.0664,132,"NPZ9"
"55","npz9.19",-27.1465,113.2129,87,"NPZ9"
"57","npz9.2",-27.1411,113.1465,92.1,"NPZ9"
"58","npz9.21",-27.1128,113.077,127,"NPZ9"
"60","npz9.22",-27.1211,113.1862,85.7,"NPZ9"
"62","npz9.25",-27.1036,113.1066,103,"NPZ9"
"64","npz9.26",-27.1256,113.122,103,"NPZ9"
"66","npz9.27",-27.1253,113.1335,93.7,"NPZ9"
"68","npz9.28",-27.1013,113.0538,132,"NPZ9"
"69","npz9.29",-27.1313,113.2089,96.7,"NPZ9"
"70","npz9.3",-27.1312,113.1239,104,"NPZ9"
"71","npz9.30",-27.1187,113.1864,90.3,"NPZ9"
"72","npz9.4",-27.1088,113.172,85.1,"NPZ9"
"74","npz9.5",-27.1519,113.1603,85.9,"NPZ9"
"76","npz9.7",-27.1463,113.136,103,"NPZ9"
"78","npz9.8",-27.1354,113.1204,108,"NPZ9"
"80","npz9.9",-27.1023,113.1518,87.8,"NPZ9"
