"","Acanthurus.grammoptilus","Acanthurus.olivaceus","Aluterus.scriptus","Anampses.caeruleopunctatus","Anampses.geographicus","Aptychotrema.vincentiana","Austrolabrus.maculatus","Bodianus.bilunulatus","Bodianus.solatus","Bodianus.spp","Bodianus.vulpinus","Carangoides.fulvoguttatus","Carangoides.spp","Carcharhinus.plumbeus","Carcharhinus.spp","Chaetodon.assarius","Chaetodon.auriga","Chaetodon.lunula","Chaetodontoplus.personifer","Cheilodactylus.gibbosus","Choerodon.rubescens","Chromis.spp","Chrysophrys.auratus","Coris.auricularis","Coris.caudimacula","Decapterus.muroadsi","Decapterus.spp","Diagramma.pictum labiosum","Echeneis.naucrates","Epinephelus.areolatus","Epinephelus.morrhua","Epinephelus.rivulatus","Eubalichthys.caeruleoguttatus","Galeocerdo.cuvier","Glaucosoma.buergeri","Gymnocranius.grandoculis","Gymnocranius.spp","Gymnothorax.nudivomer","Gymnothorax.thyrsoideus","Gymnothorax.woodwardi","Hemitriakis.falcata","Labroides.dimidiatus","Lagocephalus.sceleratus","Lethrinus.miniatus","Lethrinus.nebulosus","Lethrinus.punctulatus","Lethrinus.ravus","Mustelus.ravidus","Nelusetta.ayraud","Netuma.thalassina","Orectolobus.hutchinsi","Ostorhinchus.spp","Paracirrhites.forsteri","Parapercis.haackei","Parapercis.nebulosa","Parapercis.spp","Parequula.spp","Parma.mccullochi","Parupeneus.chrysopleuron","Parupeneus.spilurus","Pempheris.tominagai","Pentapodus.nagasakiensis","Pomacanthus.semicirculatus","Pristipomoides.multidens","Pristipomoides.typus","Pseudocaranx.spp","Rachycentron.canadum","Rhynchobatus.australiae","Scarus.sp3","Scarus.spp","Scomberomorus.spp","Seriola.dumerili","Seriola.hippos","Siganus.argenteus","Siganus.punctatus","Sphyrna.lewini","Stethojulis.spp","Suezichthys.cyanolaemus","Taeniurops.meyeni","Thalassoma.lutescens","Torquigener.pallimaculatus","Unknown.spp","Zanclus.cornutus"
"npz6.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"npz6.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"npz6.14",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,88,0,82,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,6,2,0,0,2,0,0,0,0,2,0,0,0,0,0
"npz6.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"npz6.17",0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,6,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,2,0,0,2,0
"npz6.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"npz6.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0
"npz6.20",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"npz6.21",0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,6,34,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"npz6.22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,130,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"npz6.24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,110,0,134,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0
"npz6.26",8,8,2,2,8,0,0,6,0,0,0,2,0,0,0,0,4,4,0,0,12,84,4,102,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,2,0,0,0,0,0,10,0,0,0,0,10,4,0,0,4,0,6,0,2,4
"npz6.27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,118,0,68,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
"npz6.28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"npz6.36",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,4,174,22,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0
"npz6.4",0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,6,0,36,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,0,2,0,0,0,2,2,0,0,0,0,0
"npz6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,46,6,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,8,0,0,0,0,0
"npz6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,520,0,96,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
"npz6.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"npz6.9",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"npz6.BOSS41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0
"npz6.C01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"npz6.C02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"npz9.1",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"npz9.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0
"npz9.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
