"family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"Sphyrnidae","Sphyrna","lewini",31.851,31.851,31.851,141.55,141.55,141.55
"Carcharhinidae","Carcharhinus","plumbeus",16.89,24.163,8.665,90.98,111.94,127.88
"Carangidae","Seriola","hippos",9.116,17.866,2.762,52.04,74.44,96.96
"Carangidae","Carangoides","spp",8.03,8.03,8.03,76.99,76.99,76.99
"Rhinidae","Rhynchobatus","australiae",6.672,6.672,6.672,99.58,99.58,99.58
"Carangidae","Carangoides","fulvoguttatus",5.351,5.351,5.351,67.13,67.13,67.13
"Carangidae","Seriola","dumerili",5.334,33.808,1.3,38.86,57.2,123.77
"Scombridae","Scomberomorus","spp",4.829,4.829,4.829,69.14,69.14,69.14
"Lethrinidae","Lethrinus","nebulosus",3.613,7.022,2.11,48.56,57.39,72.53
"Lethrinidae","Gymnocranius","grandoculis",3.578,4.489,2.561,49.65,55.3,59.85
"Haemulidae","Diagramma","pictum labiosum",3.182,5.281,1.706,49.87,60.69,72.8
"Glaucosomatidae","Glaucosoma","buergeri",2.57,3.659,1.1,39.89,53.12,62.11
"Lutjanidae","Pristipomoides","multidens",2.445,5.717,1.048,38.59,51.56,70.86
"Triakidae","Hemitriakis","falcata",2.418,2.445,2.392,77.25,77.55,77.85
"Lethrinidae","Lethrinus","miniatus",2.007,8.741,0.381,28.41,45.77,73.95
"Carcharhinidae","Carcharhinus","spp",2.005,2.005,2.005,58.87,58.87,58.87
"Triakidae","Mustelus","spp",1.897,2.32,1.58,66.76,71.05,76.43
"Lutjanidae","Pristipomoides","typus",1.825,2.946,1.25,44.49,50.34,60.89
"Tetraodontidae","Lagocephalus","sceleratus",1.82,3.55,0.779,38.34,49.55,64.41
"Serranidae","Epinephelus","morrhua",1.401,1.401,1.401,46.04,46.04,46.04
"Labridae","Choerodon","rubescens",1.383,3.11,0.29,25.11,40.45,54.97
"Sparidae","Chrysophrys","auratus",1.37,4.9,0.441,26.93,39.23,63.77
"Lutjanidae","Pristipomoides","spp",1.32,1.32,1.32,41.92,41.92,41.92
"Scaridae","Scarus","sp3",1.193,1.193,1.193,37.86,37.86,37.86
"Monacanthidae","Nelusetta","ayraud",1.173,1.772,0.566,38.99,49.67,58.53
"Carcharhinidae","Carcharhinus","albimarginatus",1.037,1.037,1.037,47.18,47.18,47.18
"Monacanthidae","Eubalichthys","caeruleoguttatus",1.012,1.012,1.012,37.89,37.89,37.89
"Serranidae","Epinephelus","areolatus",0.97,1.297,0.57,33.39,39.82,44.25
"Carangidae","Pseudocaranx","spp",0.923,1.614,0.484,29.81,36.55,44.77
"Lethrinidae","Lethrinus","ravus",0.841,1.049,0.63,31.11,34.08,36.87
"Gerreidae","Unknown","spp",0.699,3.481,0.002,4.57,14.55,50.89
"Labridae","Bodianus","bilunulatus",0.522,0.522,0.522,31.67,31.67,31.67
"Carangidae","Decapterus","spp",0.518,0.623,0.423,28.48,30.44,32.45
"Labridae","Bodianus","solatus",0.479,0.965,0.201,24.95,32.97,42.84
"Labridae","Bodianus","vulpinus",0.423,0.59,0.256,25.59,29.62,33.64
"Serranidae","Epinephelus","rivulatus",0.287,0.29,0.283,26.57,26.68,26.78
"Pomacanthidae","Chaetodontoplus","personifer",0.249,0.263,0.235,22.2,22.64,23.08
"Tetraodontidae","Unknown","sp1",0.207,0.227,0.187,21.95,22.72,23.48
"Ostraciidae","Tetrosomus","reipublicae",0.153,0.153,0.153,19.64,19.64,19.64
"Muraenidae","Gymnothorax","woodwardi",0.147,0.147,0.147,46.71,46.71,46.71
"Mullidae","Parupeneus","spilurus",0.108,0.191,0.013,8.57,15.89,21.07
"Nemipteridae","Pentapodus","nagasakiensis",0.066,0.117,0.009,8.44,15.15,18.9
"Monacanthidae","Unknown",NA,0.062,0.062,0.062,15.54,15.54,15.54
"Labridae","Coris","auricularis",0.052,0.256,0.002,5.45,13.78,27.6
"Labridae","Stethojulis","sp1",0.034,0.065,0.012,9.43,12.83,16.91
"Labridae","Unknown",NA,0.03,0.03,0.03,12.91,12.91,12.91
"Labridae","Stethojulis","spp",0.028,0.038,0.014,9.9,12.48,14.11
"Chaetodontidae","Chaetodon","assarius",0.015,0.024,0.006,6.2,8.39,10.03
"Monacanthidae","Unknown","spp",0.01,0.01,0.01,8.41,8.41,8.41
"Labridae","Unknown","spp",0.007,0.007,0.007,7.85,7.85,7.85
"Apogonidae","Ostorhinchus","spp",0.005,0.009,0.001,4.12,6.35,7.84
"Pomacentridae","Chromis","spp",0.005,0.019,0,1.21,5.38,8.62
"Nemipteridae","Pentapodus","spp",0.005,0.005,0.005,6.85,6.85,6.85
"Cirrhitidae","Paracirrhites","forsteri",0.004,0.005,0.003,5.6,6.14,6.67
"Pinguipedidae","Parapercis","nebulosa",0.003,0.006,0.001,4.39,7.28,9.01
"Labridae","Suezichthys","cyanolaemus",0.002,0.005,0,4.35,7.06,9.06
"Tetraodontidae","Unknown","spp",0.002,0.002,0.002,4.33,4.33,4.33
