"campaignid","sample","family","genus","species","length","min.length","max.length","fb.length_max","reason","difference","percent.of.fb.max"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Suezichthys","cyanolaemus",87.34562,14.55,82.45,97,"too big",4.89561999999999,90.0470309278351
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",58.01993,60,340,400,"too small",1.98007,14.5049825
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",59.38776,60,340,400,"too small",0.61224,14.84694
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",48.91764,60,340,400,"too small",11.08236,12.22941
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",38.72109,60,340,400,"too small",21.27891,9.6802725
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",38.04986,60,340,400,"too small",21.95014,9.512465
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",48.02652,60,340,400,"too small",11.97348,12.00663
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",52.14052,60,340,400,"too small",7.85948,13.03513
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",53.63534,60,340,400,"too small",6.36466,13.408835
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",53.10081,60,340,400,"too small",6.89919,13.2752025
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Labridae","Suezichthys","cyanolaemus",84.51625,14.55,82.45,97,"too big",2.06625,87.1301546391753
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Suezichthys","cyanolaemus",86.31514,14.55,82.45,97,"too big",3.86514,88.9846804123711
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Suezichthys","cyanolaemus",90.64128,14.55,82.45,97,"too big",8.19127999999999,93.444618556701
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","Labridae","Coris","auricularis",58.44115,60,340,400,"too small",1.55885,14.6102875
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Labridae","Coris","auricularis",54.53154,60,340,400,"too small",5.46846,13.632885
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Labridae","Suezichthys","cyanolaemus",103.00883,14.55,82.45,97,"too big",20.55883,106.194670103093
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Pomacanthidae","Pomacanthus","semicirculatus",475.08598,60,340,400,"too big",135.08598,118.771495
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Mullidae","Parupeneus","spilurus",66.07569,75,425,500,"too small",8.92431000000001,13.215138
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Mullidae","Parupeneus","spilurus",73.64486,75,425,500,"too small",1.35514000000001,14.728972
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Labridae","Suezichthys","cyanolaemus",120.4278,14.55,82.45,97,"too big",37.9778,124.152371134021
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Echeneidae","Echeneis","naucrates",108.71306,165,935,1100,"too small",56.28694,9.88300545454545
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Pomacanthidae","Chaetodontoplus","personifer",326.50527,52.5,297.5,350,"too big",29.00527,93.28722
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Labridae","Suezichthys","cyanolaemus",91.12803,14.55,82.45,97,"too big",8.67802999999999,93.9464226804124
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Labridae","Suezichthys","cyanolaemus",85.19068,14.55,82.45,97,"too big",2.74068,87.8254432989691
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Labridae","Suezichthys","cyanolaemus",93.17608,14.55,82.45,97,"too big",10.72608,96.0578144329897
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Labridae","Coris","auricularis",59.76645,60,340,400,"too small",0.233550000000001,14.9416125
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Labridae","Coris","auricularis",58.71111,60,340,400,"too small",1.28889,14.6777775
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Labridae","Coris","auricularis",58.88946,60,340,400,"too small",1.11054,14.722365
"2021-05_Abrolhos_stereo-BRUVs","npz9.27","Lutjanidae","Pristipomoides","typus",608.86143,105,595,700,"too big",13.86143,86.9802042857143
"2021-05_Abrolhos_stereo-BRUVs","npz9.27","Monacanthidae","Eubalichthys","caeruleoguttatus",378.89815,57,323,380,"too big",55.89815,99.7100394736842
"2021-05_Abrolhos_stereo-BRUVs","npz9.3","Labridae","Coris","auricularis",59.69994,60,340,400,"too small",0.300060000000002,14.924985
"2021-05_Abrolhos_stereo-BRUVs","npz9.3","Labridae","Coris","auricularis",58.83493,60,340,400,"too small",1.16507,14.7087325
"2021-05_Abrolhos_stereo-BRUVs","npz9.30","Glaucosomatidae","Glaucosoma","buergeri",573.7118,82.5,467.5,550,"too big",106.2118,104.311236363636
"2021-05_Abrolhos_stereo-BRUVs","npz9.5","Chaetodontidae","Chaetodon","assarius",235.53041,24,136,160,"too big",99.53041,147.20650625
"2021-05_Abrolhos_stereo-BRUVs","npz9.8","Glaucosomatidae","Glaucosoma","buergeri",621.08015,82.5,467.5,550,"too big",153.58015,112.923663636364
