"campaignid","sample","family","genus","species"
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","Cirrhitidae","Paracirrhites","forsteri"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Scaridae","Scarus","sp3"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Trygonorrhinidae","Aptychotrema","vincentiana"
"2021-05_Abrolhos_stereo-BRUVs","npz6.15","Triakidae","Mustelus","ravidus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Cirrhitidae","Paracirrhites","forsteri"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Labridae","Bodianus","solatus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Lethrinidae","Lethrinus","punctulatus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Bodianus","solatus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Labridae","Coris","caudimacula"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Acanthuridae","Acanthurus","olivaceus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Carangidae","Carangoides","fulvoguttatus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Lethrinidae","Lethrinus","ravus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Chaetodontidae","Chaetodon","lunula"
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Pempherididae","Pempheris","tominagai"
"2021-05_Abrolhos_stereo-BRUVs","npz6.28","Triakidae","Mustelus","ravidus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Cirrhitidae","Paracirrhites","forsteri"
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Labridae","Bodianus","solatus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Labridae","Bodianus","solatus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.8","Ariidae","Netuma","thalassina"
"2021-05_Abrolhos_stereo-BRUVs","npz6.C01","Triakidae","Mustelus","ravidus"
"2021-05_Abrolhos_stereo-BRUVs","npz9.1","Serranidae","Epinephelus","areolatus"
"2021-05_Abrolhos_stereo-BRUVs","npz9.1","Lutjanidae","Pristipomoides","multidens"
"2021-05_Abrolhos_stereo-BRUVs","npz9.1","Labridae","Bodianus","solatus"
"2021-05_Abrolhos_stereo-BRUVs","npz9.10","Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_Abrolhos_stereo-BRUVs","npz9.13","Serranidae","Epinephelus","areolatus"
"2021-05_Abrolhos_stereo-BRUVs","npz9.16","Labridae","Bodianus","solatus"
"2021-05_Abrolhos_stereo-BRUVs","npz9.17","Serranidae","Epinephelus","areolatus"
"2021-05_Abrolhos_stereo-BRUVs","npz9.17","Lutjanidae","Pristipomoides","multidens"
"2021-05_Abrolhos_stereo-BRUVs","npz9.18","Triakidae","Mustelus","ravidus"
"2021-05_Abrolhos_stereo-BRUVs","npz9.18","Lutjanidae","Pristipomoides","multidens"
