"family","genus","species"
"Cirrhitidae","Paracirrhites","forsteri"
"Scaridae","Scarus","sp3"
"Trygonorrhinidae","Aptychotrema","vincentiana"
"Dasyatidae","Taeniurops","meyeni"
"Labridae","Bodianus","solatus"
"Lethrinidae","Lethrinus","ravus"
"Nemipteridae","Pentapodus","nagasakiensis"
"Unknown","unknown","unknown"
"Acanthuridae","Acanthurus","olivaceus"
"Carangidae","Carangoides","fulvoguttatus"
"Chaetodontidae","Chaetodon","lunula"
"Labridae","Coris","caudimacula"
"Monacanthidae","Aluterus","scriptus"
"Siganidae","Siganus","argenteus"
"Zanclidae","Zanclus","cornutus"
"Labridae","Unknown","sp1"
"Pempherididae","Pempheris","tominagai"
"Ariidae","Netuma","thalassina"
"Lutjanidae","Pristipomoides","multidens"
"Serranidae","Epinephelus","areolatus"
"Lethrinidae","Gymnocranius","grandoculis"
"Unknown","Unknown","unknown"
"Triakidae","Hemitriakis","falcata"
"Muraenidae","Gymnothorax","thyrsoideus"
"Rachycentridae","Rachycentron","canadum"
