"campaignid","sample","family","genus","species","length","number","range"
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Pinguipedidae","Parapercis","nebulosa",68.57177,1,1004.17382
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",367.40997,1,1530.25354
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",303.44706,1,1284.89741
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",327.17062,1,1277.9053
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",292.07022,1,1382.25058
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Carangidae","Seriola","dumerili",414.13365,1,1872.45618
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Carangidae","Seriola","dumerili",446.80786,1,2511.48532
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Carangidae","Seriola","dumerili",446.26441,1,2083.98847
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Carangidae","Seriola","dumerili",452.64395,1,1327.79347
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Carangidae","Seriola","dumerili",459.07871,1,2500.12803
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Monacanthidae","Nelusetta","ayraud",585.30928,1,1619.39395
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Lagocephalus","sceleratus",424.6619,1,2695.93282
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Lagocephalus","sceleratus",591.70621,1,3868.42491
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","Cirrhitidae","Paracirrhites","forsteri",66.67543,1,1307.06397
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","Apogonidae","Ostorhinchus","spp",46.971,1,1031.85512
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","Chaetodontidae","Chaetodon","assarius",62.00127,1,2229.1266
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",544.82221,1,1240.31316
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",478.18797,1,1802.0467
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",426.01511,1,2235.21474
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",441.41138,1,1830.18918
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Suezichthys","cyanolaemus",85.8974,1,1020.01063
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Scaridae","Scarus","spp",292.326,1,2411.92921
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Labroides","dimidiatus",60.30365,1,1966.43571
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Labroides","dimidiatus",78.48391,1,2457.94276
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Lethrinidae","Lethrinus","miniatus",481.74457,1,2221.94949
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Lethrinidae","Lethrinus","miniatus",385.92729,1,2236.86838
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Lethrinidae","Lethrinus","miniatus",322.35062,1,1595.86071
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Lethrinidae","Lethrinus","miniatus",395.60811,1,1243.95501
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Lethrinidae","Lethrinus","miniatus",523.25876,1,1279.71016
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Choerodon","rubescens",425.19382,1,1719.36352
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Choerodon","rubescens",270.85874,1,2035.52127
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Carangidae","Seriola","hippos",542.53282,1,3130.68968
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Bodianus","bilunulatus",289.15757,1,1450.31237
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Lethrinidae","Lethrinus","nebulosus",602.06538,1,4991.72879
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Scaridae","Scarus","sp3",272.98618,1,2125.48653
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Scaridae","Scarus","sp3",231.93372,1,1999.82909
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Trygonorrhinidae","Aptychotrema","vincentiana",984.28253,1,4013.3025
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Mullidae","Parupeneus","spilurus",287.81081,1,2133.05697
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Mullidae","Parupeneus","spilurus",269.05639,1,2507.44571
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Mullidae","Parupeneus","spilurus",339.25719,1,2733.74027
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Mullidae","Parupeneus","spilurus",231.64717,1,2360.46393
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Mullidae","Parupeneus","spilurus",215.04832,1,2168.0292
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Mullidae","Parupeneus","spilurus",259.58733,1,2672.62377
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Scaridae","Scarus","sp3",296.37128,1,2078.86596
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Pomacentridae","Parma","mccullochi",239.42641,1,2189.0075
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Anampses","geographicus",136.12114,1,2004.6276
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",58.01993,1,1155.59439
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",63.33674,1,1474.86183
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",137.47293,1,1367.58465
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",133.00742,1,2098.33191
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",115.49685,1,1841.43152
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",129.39154,1,1546.63852
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",141.88874,1,1298.8206
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",118.82648,1,1125.57128
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",59.38776,1,1681.46578
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",131.48217,1,1182.49808
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",140.38615,1,1833.49122
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",131.54126,1,1416.73317
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",162.32429,1,1775.18872
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",99.05549,1,2380.84463
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",131.94655,1,1303.29977
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",96.59257,1,1552.08213
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",60.80301,1,1629.97073
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",114.71679,1,1706.84638
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",60.16065,1,1590.81839
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",45.605,1,1381.86685
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",149.82962,1,1844.65772
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",126.36663,1,2689.93362
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",109.88928,1,1826.81928
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",116.07254,1,1667.8054
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",48.02652,1,1347.55333
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",126.30593,1,1461.55837
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",67.44464,1,1776.41716
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",132.83929,1,1726.71471
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",144.24045,1,1415.03537
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Pomacentridae","Chromis","spp",95.28779,1,1803.41924
"2021-05_Abrolhos_stereo-BRUVs","npz6.15","Triakidae","Mustelus","ravidus",728.54002,1,1663.20264
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Monacanthidae","Nelusetta","ayraud",506.94219,1,1525.90284
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Sparidae","Chrysophrys","auratus",510.44865,1,1166.98323
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Sparidae","Chrysophrys","auratus",436.31224,1,1714.3946
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Sparidae","Chrysophrys","auratus",366.13704,1,1516.51434
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Cirrhitidae","Paracirrhites","forsteri",55.96015,1,1898.09806
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Carangidae","Seriola","hippos",648.13341,1,1605.17073
