"campaignid","sample","filename","period","periodtime","family","genus","species","comment","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","L027 (09).MP4","1","13.40089","Carangidae","Seriola","dumerili",NA,5,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","L027 (10).MP4","1","17.25474","Monacanthidae","Nelusetta","ayraud",NA,1,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","L027 (09).MP4","1","7.45801","Pinguipedidae","Parapercis","nebulosa",NA,1,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","L027 (09).MP4","1","12.94849","Sparidae","Chrysophrys","auratus",NA,4,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","L027 (11).MP4","1","52.71989","Tetraodontidae","Lagocephalus","sceleratus",NA,2,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","L039 (11).MP4","1","34.40465","Apogonidae","Ostorhinchus","spp",NA,2,"-28.0611","113.3714","20210512","11:19","NPZ6","No-take","npz6.13","109","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","L039 (11).MP4","1","38.94947","Chaetodontidae","Chaetodon","assarius",NA,1,"-28.0611","113.3714","20210512","11:19","NPZ6","No-take","npz6.13","109","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","L039 (10).MP4","1","13.51294","Cirrhitidae","Paracirrhites","forsteri",NA,1,"-28.0611","113.3714","20210512","11:19","NPZ6","No-take","npz6.13","109","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","L039 (11).MP4","1","47.19882","Sparidae","Chrysophrys","auratus",NA,4,"-28.0611","113.3714","20210512","11:19","NPZ6","No-take","npz6.13","109","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","L039 (09).MP4","1","4.66271","Tetraodontidae","Lagocephalus","sceleratus",NA,1,"-28.0611","113.3714","20210512","11:19","NPZ6","No-take","npz6.13","109","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","L029 (03).MP4","1","15.00110","Carangidae","Seriola","hippos",NA,1,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","L029 (04).MP4","1","31.39776","Labridae","Anampses","geographicus",NA,1,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","L029 (02).MP4","1","2.60260","Labridae","Austrolabrus","maculatus",NA,1,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","L029 (03).MP4","1","22.44993","Labridae","Bodianus","bilunulatus",NA,1,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","L029 (03).MP4","1","14.57345","Labridae","Choerodon","rubescens",NA,2,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","L029 (04).MP4","1","44.07876","Labridae","Coris","auricularis",NA,41,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","L029 (03).MP4","1","7.73273","Labridae","Labroides","dimidiatus",NA,3,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","L029 (03).MP4","1","5.96429","Labridae","Suezichthys","cyanolaemus",NA,1,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","L029 (03).MP4","1","8.52046","Lethrinidae","Lethrinus","miniatus",NA,5,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
