"scientific","caab","class","order","family","subfamily","genus","species","global.region","marine.region","length.measure","a","b","all","bll","source","source_level","local.region","feeding.guild","iucn.ranking","fb.vulnerability","fb.countries","fb.status","fb.length_max","fb.ltypemaxm","rls.trophic.level","rls.trophic.breadth","rls.trophic.group","rls.water.column","rls.substrate.type","rls.complexity","rls.night.day","rls.gregariousness","rls.thermal.niche","rls.vulnerability","fishing.mortality","fishing.type","fishing.intensity","minlegal.nt","maxlegal.nt","bag.nt","minlegal.wa","maxlegal.wa","bag.wa","minlegal.qld","maxlegal.qld","bag.qld","minlegal.nsw","maxlegal.nsw","bag.nsw","minlegal.vic","maxlegal.vic","bag.vic","minlegal.sa","maxlegal.sa","bag.sa","minlegal.tas","maxlegal.tas","bag.tas"
"Acanthurus grammoptilus",37437002,"Actinopterygii","Perciformes","Acanthuridae","Acanthurinae","Acanthurus","grammoptilus","Australia","CS/N/NW/SW/TE","TL",0.02344,2.96,0,1.11369,"FishBase","LWR estimates for this Genus-body shape","Ningaloo/Pilbara/Timor/Negros/SEQ","herbivore","Least Concern",29.77,"Australia/Indonesia/New.Caledonia/Philippines/Viet.Nam","native",350,"TL",2.1,2,"Browsing herbivore","Demersal","Hard bottom","Low","Day",1,26.6421,31,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthurus olivaceus",37437016,"Actinopterygii","Perciformes","Acanthuridae","Acanthurinae","Acanthurus","olivaceus","Australia","CS/N/NW/TE","FL",0.0606,2.7,0,1,"FishBase","Species specific","Ningaloo/Pilbara/Timor/SEQ","algae/invertebrate consumer","Least Concern",18.16,"American.Samoa/Australia/China/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/Fiji/French.Polynesia/Guam/Hong.Kong/Indonesia/Japan/Malaysia/Mauritius/New.Caledonia/Vanuatu/Niue/Norfolk.Island/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Viet.Nam/Tonga/Samoa","native",350,"TL",2.2,2,"Browsing herbivore","Demersal","Hard bottom","Low","Day",1,24.6063,31,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aluterus scriptus",37465045,"Actinopterygii","Tetraodontiformes","Monacanthidae",NA,"Aluterus","scriptus","Australia","CS/N/NW","TL",0.823,1.814,0,1,"FishBase","Species specific","Ningaloo/Pilbara/Timor/Negros","algae/invertebrate consumer","Least Concern",69.33,"American.Samoa/Antigua.and.Barbuda/Australia/Bahamas/Barbados/Brazil/Virgin.Islands.(British)/Cambodia/Canada/Cabo.Verde/Cayman.Islands/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Colombia/Cook.Islands/Costa.Rica/Cuba/Dominica/Dominican.Republic/Ecuador/El.Salvador/Fiji/French.Polynesia/Djibouti/Grenada/Guadeloupe/Guam/Guatemala/Haiti/Honduras/Hong.Kong/India/Indonesia/Jamaica/Japan/Jordan/Korea.(Republic.of)/Malaysia/Maldives/Martinique/Mauritius/Mexico/Montserrat/Mozambique/Oman/Curaçao/Aruba/New.Caledonia/Vanuatu/New.Zealand/Nicaragua/Niue/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Palau/Panama/Papua.New.Guinea/Philippines/Pitcairn/Portugal/Puerto.Rico/Réunion/Saint.Helena,.Ascension.and.Tristan.da.Cunha/Saint.Kitts.and.Nevis/Anguilla/Saint.Lucia/Saint.Vincent.and.the.Grenadines/Sao.Tome.and.Principe/Seychelles/Sierra.Leone/Viet.Nam/Somalia/South.Africa/Tonga/Trinidad.and.Tobago/Turks.and.Caicos.Islands/Egypt/Tanzania,.United.Republic.of/United.States.of.America/Virgin.Islands.(U.S.)/Samoa/Yemen","native",1100,"TL",2.8,3,"Browsing herbivore","Demersal","Hard bottom","Medium","Day",1,NA,70,"N",NA,NA,NA,NA,NA,250,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anampses caeruleopunctatus",37384045,"Actinopterygii","Perciformes","Labridae","Corinae","Anampses","caeruleopunctatus","Australia","NW/TE/SW/CS/SE/Lord.Howe.Island/Christmas.Island/Cocos.Keeling","TL",0.01,3.06,0,1,"FishBase","LWR estimates for this (Sub)family-body shape","Ningaloo/Pilbara/Negros/NSW","invertebrate carnivore","Least Concern",40.08,"Australia/China/Christmas.Island/Cook.Islands/French.Polynesia/Kiribati/Guam/India/Indonesia/Japan/Jordan/Kenya/Madagascar/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/New.Zealand/Niue/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/Réunion/Saudi.Arabia/Seychelles/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/Egypt/Tanzania,.United.Republic.of/Samoa/Yemen","native",420,"TL",3.3,1,"benthic invertivore","Demersal","Hard bottom","Low","Day",2,23.2569,43,"N",NA,NA,NA,NA,NA,NA,NA,"Y",300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anampses geographicus",37384048,"Actinopterygii","Perciformes","Labridae","Corinae","Anampses","geographicus","Australia","NW/CS/SE/Lord.Howe.Island/SW/TE","TL",0.01,3.06,0,1,"FishBase","LWR estimates for this (Sub)family-body shape","Ningaloo/Pilbara/Ningaloo/Pilbara/NSW","invertebrate carnivore/invertebrate carnivore/invertebrate carnivore","Least Concern",34.91,"Australia/Cook.Islands/Fiji/Indonesia/Japan/Malaysia/Mauritius/New.Caledonia/Micronesia.(Federated.States.of)/Palau/Papua.New.Guinea/Philippines/Tonga","native",310,"TL",3.2,2,"benthic invertivore","Demersal","Hard bottom","Low","Day",2,21.8232,35,"N",NA,NA,NA,NA,NA,NA,NA,"Y",300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aptychotrema vincentiana",37027001,"Elasmobranchii","Rajiformes","Rhinobatidae","Rhinobatinae","Aptychotrema","vincentiana","Australia","NW/SE/SW","TL",0.00661,2.98,NA,NA,"FishBase","LWR estimates for this (Sub)family-body shape","West/Southwest/Northwest/South-East/West/Southwest/Northwest",NA,"Least Concern",48.7,"Australia","endemic",790,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austrolabrus maculatus",37384025,"Actinopterygii","Perciformes","Labridae",NA,"Austrolabrus","maculatus","Australia","NW/SW/TE","TL",0.01995,2.99,NA,NA,"FishBase","LWR estimates for this (Sub)family-body shape","Northwest/West/Southwest/NSW","invertebrate carnivore","Least Concern",25.86,"Australia","native",125.5,"SL",3.4,3.69737,"benthic invertivore","Demersal","Hard bottom","Low","Day",1,19.7759,27,"N",NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bodianus bilunulatus",37384054,"Actinopterygii","Perciformes","Labridae","Bodianinae","Bodianus","bilunulatus","Australia","CS/NW/SW/TE","TL",0.0146,3,0,1.04052,"FishBase","Species specific","Ningaloo/Pilbara/Southwest/Ningaloo/Pilbara/Southwest/SEQ","invertebrate carnivore/invertebrate carnivore","Least Concern",53.04,"Australia/Brunei.Darussalam/China/French.Polynesia/Hong.Kong/Indonesia/Japan/Kenya/Korea.(Republic.of)/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/New.Caledonia/Micronesia.(Federated.States.of)/Palau/Papua.New.Guinea/Philippines/Réunion/Seychelles/Somalia/South.Africa/Tanzania,.United.Republic.of/Yemen","native",550,"TL",3.4,3,"benthic invertivore","Demersal","Hard bottom","Low","Day",1,25.3028,55,"N",NA,NA,NA,NA,NA,NA,NA,"Y",300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bodianus solatus",37384201,"Actinopterygii","Perciformes","Labridae","Bodianinae","Bodianus","solatus","Australia","NW","TL",0.01202,3.05,NA,NA,"FishBase","LWR estimates for this Genus-body shape","Ningaloo/Pilbara","invertebrate carnivore","Data Deficient",47.69,"Australia","endemic",350,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bodianus vulpinus",37384001,"Actinopterygii","Perciformes","Labridae","Bodianinae","Bodianus","vulpinus","Australia","SW","TL",0.01202,3.05,0,1.02618,"FishBase","LWR estimates for this Genus-body shape","West/Southwest",NA,"Least Concern",54.31,"Australia","endemic",435,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
