"sample","latitude","longitude","date","site","location","successful.count","fov.limited","fov.open","detailed.consolidated.boulder.turfmat","detailed.consolidated.cobbles.nobiota","detailed.consolidated.cobbles.turfmat","detailed.consolidated.rock.nobiota","detailed.consolidated.rock.turfmat","detailed.consolidated.rock.veneer","detailed.invertebratecomplex.complex1.","detailed.macroalgae.encrusting.red","detailed.macroalgae.erectcoursebranching.brown","detailed.macroalgae.erectcoursebranching.red","detailed.macroalgae.erectfinebranching.green","detailed.macroalgae.erectfinebranching.red","detailed.macroalgae.largecanopy.forming.eckloniaradiata","detailed.macroalgae.smallmixed.","detailed.octocoral.black.branching.3d.","detailed.octocoral.black.fan.2d.","detailed.sponges.crusts.","detailed.sponges.erectforms.","detailed.sponges.hollowforms.","detailed.sponges.massiveforms.","detailed.sponges.smallmixed.","detailed.unconsolidated.pebble.gravel.biogenic.","detailed.unconsolidated.pebble.gravel.gravel2.10mm.","detailed.unconsolidated.pebble.gravel.pebble10.64mm.","detailed.unconsolidated.sand.mud.coarsesand.","detailed.unconsolidated.sand.mud.finesand.","mean.relief","sd.relief"
"npz6.24",-28.0787,113.4414,20210512,"npz6.27","NPZ6","Yes",27.5,72.5,0,0,0,0,3.84615384615385,0,0,0,0,19.2307692307692,7.69230769230769,42.3076923076923,0,0,0,0,7.69230769230769,0,11.5384615384615,7.69230769230769,0,0,0,0,0,0,3,0
"npz6.14",-28.0937,113.4213,20210512,"npz6.14","NPZ6","Yes",23.75,76.25,0,0,0,0,0,0,0,0,0,0,0,65.2173913043478,21.7391304347826,0,0,0,0,0,0,13.0434782608696,0,0,0,0,0,0,2.84615384615385,0.36794648440312
"npz6.6",-28.0837,113.4439,20210512,"npz6.6","NPZ6","Yes",17.5,82.5,0,0,0,0,0,0,0,0,0,83.3333333333333,0,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"npz6.2",-28.0612,113.4339,20210512,"npz6.2","NPZ6","Yes",17.5,82.5,0,14.2857142857143,42.8571428571429,0,0,0,0,10.7142857142857,0,0,3.57142857142857,10.7142857142857,3.57142857142857,3.57142857142857,0,0,0,10.7142857142857,0,0,0,0,0,0,0,0,1.45833333333333,0.508977377704051
"npz6.18",-28.0962,113.4438,20210512,"npz6.19","NPZ6","Yes",8.75,91.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0
"npz6.22",-28.0687,113.4512,20210512,"npz6.23","NPZ6","Yes",17.5,82.5,0,0,2.77777777777778,0,0,0,2.77777777777778,0,2.77777777777778,19.4444444444444,13.8888888888889,22.2222222222222,11.1111111111111,8.33333333333333,0,0,8.33333333333333,2.77777777777778,0,0,0,0,0,0,0,5.55555555555556,2.85714285714286,0.356348322549899
"npz6.20",-28.0736,113.4593,20210512,"npz6.21","NPZ6","Yes",18.9873417721519,81.0126582278481,0,21.7391304347826,21.7391304347826,0,8.69565217391304,0,0,13.0434782608696,0,0,4.34782608695652,8.69565217391304,0,4.34782608695652,0,0,0,0,0,4.34782608695652,0,0,0,0,13.0434782608696,0,1.15,0.366347548532523
"npz6.26",-28.0937,113.4563,20210512,"npz6.29","NPZ6","Yes",16.25,83.75,0,0,0,0,28.9473684210526,0,0,0,0,0,0,71.0526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0.276887462097269
"npz6.27",-28.0562,113.4464,20210512,"npz6.30","NPZ6","Yes",18.75,81.25,0,3.125,0,0,0,0,0,0,0,21.875,0,43.75,28.125,0,0,0,0,0,0,0,0,0,0,0,0,3.125,3,0
"npz6.8",-28.0688,113.3413,20210512,"npz6.8","NPZ6","Yes",13.75,86.25,0,0,0,0,0,0,3.7037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.2962962962963,0,0
"npz6.15",-28.0588,113.3488,20210512,"npz6.15","NPZ6","Yes",18.75,81.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.3076923076923,57.6923076923077,0,0
"npz6.9",-28.0386,113.3814,20210512,"npz6.9","NPZ6","Yes",16.4556962025316,83.5443037974684,0,0,40,0,23.3333333333333,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3.33333333333333,0,0,10,3.33333333333333,0,0,1,0
"npz6.13",-28.0611,113.3714,20210512,"npz6.13","NPZ6","Yes",15,85,0,0,0,0,4.76190476190476,0,47.6190476190476,0,0,0,0,0,0,0,4.76190476190476,0,0,0,0,9.52380952380952,0,0,0,0,33.3333333333333,0,2.14285714285714,0.853563956930837
"npz6.10",-28.0787,113.3764,20210512,"npz6.10","NPZ6","Yes",26.25,73.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.7142857142857,0,39.2857142857143,0,0,0
