"","family","genus.species","australian.common.name","fishing.type","iucn.ranking","mean.relative.abundance.per.deployment.plus.minus.SE","total.relative.abundance"
"1","Acanthuridae","Acanthurus grammoptilus","Inshore surgeonfish","","Least Concern","0.08 +/- 0.08",4
"2","Acanthuridae","Acanthurus olivaceus","Orangeblotch surgeonfish","","Least Concern","0.08 +/- 0.08",4
"3","Apogonidae","Ostorhinchus spp",NA,"",NA,"0.31 +/- 0.16",15
"4","Ariidae","Netuma thalassina","Giant sea catfish","",NA,"0.02 +/- 0.02",1
"5","Carangidae","Carangoides fulvoguttatus","Turrum","Commercial","Least Concern","0.02 +/- 0.02",1
"6","Carangidae","Carangoides spp",NA,"",NA,"0.12 +/- 0.12",6
"7","Carangidae","Decapterus muroadsi","Temperate scad","","Least Concern","0.02 +/- 0.02",1
"8","Carangidae","Decapterus spp",NA,"",NA,"0.12 +/- 0.1",6
"9","Carangidae","Pseudocaranx spp",NA,"",NA,"0.27 +/- 0.19",13
"10","Carangidae","Seriola dumerili","Amberjack","","Least Concern","0.47 +/- 0.19",23
"11","Carangidae","Seriola hippos","Samsonfish","Commercial","Least Concern","0.39 +/- 0.09",19
"12","Carangidae","Unknown spp",NA,"",NA,"0.02 +/- 0.02",1
"13","Carcharhinidae","Carcharhinus plumbeus","Sandbar shark","Commercial","Vulnerable","0.12 +/- 0.05",6
"14","Carcharhinidae","Carcharhinus spp",NA,"",NA,"0.02 +/- 0.02",1
"15","Carcharhinidae","Galeocerdo cuvier","Tiger shark","","Near Threatened","0.04 +/- 0.03",2
"16","Chaetodontidae","Chaetodon assarius","Western butterflyfish","","Least Concern","1.22 +/- 1.04",60
"17","Chaetodontidae","Chaetodon auriga","Threadfin butterflyfish","","Least Concern","0.04 +/- 0.04",2
"18","Chaetodontidae","Chaetodon lunula","Racoon butterflyfish","","Least Concern","0.04 +/- 0.04",2
"19","Cheilodactylidae","Cheilodactylus gibbosus","Magpie morwong","",NA,"0.02 +/- 0.02",1
"20","Cirrhitidae","Paracirrhites forsteri","Freckled hawkfish","","Least Concern","0.06 +/- 0.03",3
"21","Dasyatidae","Taeniurops meyeni","Blotched fantail ray","","Vulnerable","0.04 +/- 0.03",2
"22","Echeneidae","Echeneis naucrates","Sharksucker","","Least Concern","0.04 +/- 0.03",2
"23","Gerreidae","Parequula spp",NA,"",NA,"0.12 +/- 0.06",6
"24","Glaucosomatidae","Glaucosoma buergeri","Northern pearl perch","Commercial",NA,"0.06 +/- 0.05",3
"25","Haemulidae","Diagramma pictum labiosum","Painted sweetlips","Commercial",NA,"0.43 +/- 0.2",21
"26","Labridae","Anampses caeruleopunctatus","Diamond wrasse","","Least Concern","0.02 +/- 0.02",1
"27","Labridae","Anampses geographicus","Scribbled wrasse","","Least Concern","0.1 +/- 0.08",5
"28","Labridae","Austrolabrus maculatus","Blackspotted wrasse","","Least Concern","0.02 +/- 0.02",1
"29","Labridae","Bodianus bilunulatus","Saddleback pigfish","","Least Concern","0.1 +/- 0.07",5
"30","Labridae","Bodianus solatus","Sunburnt pigfish","","Data Deficient","0.22 +/- 0.07",11
"31","Labridae","Bodianus spp",NA,"",NA,"0.02 +/- 0.02",1
"32","Labridae","Bodianus vulpinus","Western pigfish","","Least Concern","0.04 +/- 0.03",2
"33","Labridae","Choerodon albofasciatus",NA,"",NA,"0.29 +/- 0.09",14
"34","Labridae","Choerodon rubescens","Baldchin groper","Commercial","Least Concern","0.57 +/- 0.18",28
"35","Labridae","Coris auricularis","Western King wrasse","","Least Concern","12.06 +/- 4.59",591
"36","Labridae","Coris caudimacula","Spot-tail wrasse","","Least Concern","0.02 +/- 0.02",1
"37","Labridae","Labroides dimidiatus","Common cleanerfish","","Least Concern","0.16 +/- 0.09",8
"38","Labridae","Suezichthys cyanolaemus","Bluethroat rainbow wrasse","","Least Concern","0.45 +/- 0.15",22
"39","Labridae","Thalassoma lutescens","Green moon wrasse","","Least Concern","0.06 +/- 0.06",3
"40","Labridae","Unknown spp",NA,"",NA,"0.04 +/- 0.03",2
"41","Lethrinidae","Gymnocranius grandoculis","Robinson's seabream","Commercial","Least Concern","0.14 +/- 0.07",7
"42","Lethrinidae","Gymnocranius spp",NA,"",NA,"0.06 +/- 0.03",3
